name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Shark's Fish & Chicken,9.48,3.0,69.0,56.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Ho Ho Restaurant,9.01,1.0,61.0,80.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Jb Gyros,9.05,2.0,,87.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Jamaican Jerk Villa,9.7,2.0,64.0,97.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Salaam Restaurant and Bakery,9.68,2.0,85.0,150.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Billy's Prime Fish & Hoagie,9.2,2.0,,196.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Italian Fiesta Pizzeria - S Halsted St,9.95,1.0,76.0,294.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Italian Fiesta Pizzeria,,,,305.0,41.749896,-87.643693,2dafe44e5cded67896a11d676345cf4a,1.0,restaurant
Raison D' Etre,,,,346.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Norman's Bistro,9.59,2.0,88.0,391.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Gorée Cuisine,9.35,2.0,75.0,549.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Subway,9.64,1.0,74.0,616.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Italian Fiesta Pizzeria,9.62,1.0,72.0,644.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Radio Ribs,,,,667.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Just Turkey,9.8,1.0,80.0,672.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Chicago Cheese Steak,8.68,2.0,,673.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
JJ Fish & Chicken,6.54,1.0,,679.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
MR Captain Hooks,,,,679.0,41.814697,-87.598006,acbda1cbce51d6af73e60abd522ff085,1.0,restaurant
Tacos & Burritos Rancho Grande,,,,362.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Guapo Taco,9.5,1.0,,377.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Hot Mexican Peppers,,,,392.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Paleteria El Sabor De Michoacan,9.67,1.0,,431.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Birrieria Jalisco,9.23,2.0,,436.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Ayutla,,,,436.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
La Placita De Durango,9.31,2.0,68.0,541.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Taqueria Jamay,9.77,1.0,,565.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Mario's Taqueria,,,,570.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Piezano's Pizza & Grinder Co,9.54,2.0,,577.0,41.805661,-87.683392,361f4566b1399797b0b93458561b81ad,11.0,restaurant
Caribbean Jerk Palace II,,,,78.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Raymonds Tacos,,,,78.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Andy's Deli,9.43,4.0,,232.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Tasty Chicken & Salad,,,,512.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Sharks Fish,,,,521.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Andy's Deli Butcher Shop,,,,532.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Ernie's Restaurant,3.8,,,568.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Life Restaurant,,,,568.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
White Castle,9.9,1.0,59.0,570.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Uncle Remus Chicken & Barbeque,,,,573.0,41.885409,-87.726491,ed564a9cb47fafea0437ccf0059c7775,11.0,restaurant
Burger King,9.88,1.0,66.0,29.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
