name,popularity,price,rating,distance,latitude,longitude,ll,poiCat
Caribbean Jerk Palace II,,,,78,41.885409,-87.726491,-45.841082,restaurant
Raymonds Tacos,,,,78,41.885409,-87.726491,-45.841082,restaurant
Andy's Deli,9.43,4,,232,41.885409,-87.726491,-45.841082,restaurant
Tasty Chicken & Salad,,,,512,41.885409,-87.726491,-45.841082,restaurant
Sharks Fish,,,,521,41.885409,-87.726491,-45.841082,restaurant
Andy's Deli Butcher Shop,,,,532,41.885409,-87.726491,-45.841082,restaurant
Ernie's Restaurant,3.8,,,568,41.885409,-87.726491,-45.841082,restaurant
Life Restaurant,,,,568,41.885409,-87.726491,-45.841082,restaurant
White Castle,9.9,1,59,570,41.885409,-87.726491,-45.841082,restaurant
Uncle Remus Chicken & Barbeque,,,,573,41.885409,-87.726491,-45.841082,restaurant
Burger King,9.88,1,66,29,41.69239475,-87.70096064,-46.00856589,restaurant
Lindy's Chili & Gertie's Ice Cream,9.06,1,63,61,41.69239475,-87.70096064,-46.00856589,restaurant
Rosati’S Pizza,9.15,1,71,69,41.69239475,-87.70096064,-46.00856589,restaurant
Hinky Dinks Pub,9.57,1,61,166,41.69239475,-87.70096064,-46.00856589,restaurant
Joseph's Restaurant and Bar,9.35,2,73,179,41.69239475,-87.70096064,-46.00856589,restaurant
Lanigan's Irish Pub,9.4,2,51,181,41.69239475,-87.70096064,-46.00856589,restaurant
Mackells Inn,9.47,1,,209,41.69239475,-87.70096064,-46.00856589,restaurant
Blackthorn Pub,,,,226,41.69239475,-87.70096064,-46.00856589,restaurant
Barraco's Pizza Chicago,9.91,2,83,274,41.69239475,-87.70096064,-46.00856589,restaurant
La Fiesta Mexican Restaurant,9.75,2,61,291,41.69239475,-87.70096064,-46.00856589,restaurant
Quetips BBQ Tips And Things,4.84,2,,391,41.862355,-87.7157109,-45.8533559,restaurant
Sir Chicken,9.53,,,401,41.862355,-87.7157109,-45.8533559,restaurant
Goldy Fast Food,,,,429,41.862355,-87.7157109,-45.8533559,restaurant
Uncle Remus Chicken & BBQ,2.52,,,467,41.862355,-87.7157109,-45.8533559,restaurant
Popeyes Louisiana Kitchen,9.89,1,56,491,41.862355,-87.7157109,-45.8533559,restaurant
Falcon Holdings,,,,573,41.862355,-87.7157109,-45.8533559,restaurant
Dave's Red Hots,9.4,1,67,580,41.862355,-87.7157109,-45.8533559,restaurant
Rally's,,,,604,41.862355,-87.7157109,-45.8533559,restaurant
Checkers,9.72,1,61,609,41.862355,-87.7157109,-45.8533559,restaurant
Star Gyros,9.59,1,,629,41.862355,-87.7157109,-45.8533559,restaurant
Caramel Cafe,9,1,,25,41.865608,-87.772389,-45.906781,restaurant
Albano's Pizzeria,9.37,1,84,29,41.865608,-87.772389,-45.906781,restaurant
Taqueria Los Altos De Jalisco,9.14,1,,135,41.865608,-87.772389,-45.906781,restaurant
The Depot,,,,139,41.865608,-87.772389,-45.906781,restaurant
Taqueria Los Martinez,,,,147,41.865608,-87.772389,-45.906781,restaurant
Big Top,,,,159,41.865608,-87.772389,-45.906781,restaurant
Brasas,8.36,1,,193,41.865608,-87.772389,-45.906781,restaurant
Senor Sandwich,,,,230,41.865608,-87.772389,-45.906781,restaurant
Galloway's Last Resort,,,,310,41.865608,-87.772389,-45.906781,restaurant
Lucky Dog,9.8,1,76,319,41.865608,-87.772389,-45.906781,restaurant
Elliots Augusta Pizza & Grill,9.94,1,79,443,41.8954359,-87.7335726,-45.8381367,restaurant
Burger King,9.9,1,52,666,41.8954359,-87.7335726,-45.8381367,restaurant
The Goddess Restaurant Group,,,,669,41.8954359,-87.7335726,-45.8381367,restaurant
Rubys Soulfood OTA,,,,671,41.8954359,-87.7335726,-45.8381367,restaurant
Philly Bros,,,,678,41.8954359,-87.7335726,-45.8381367,restaurant
El Jefe Loco,,,,701,41.8954359,-87.7335726,-45.8381367,restaurant
Chicago's Margies Maxwell Street,,,,744,41.8954359,-87.7335726,-45.8381367,restaurant
Mel's Place,,,,792,41.8954359,-87.7335726,-45.8381367,restaurant
La Cocina de Alicia,,,,876,41.8954359,-87.7335726,-45.8381367,restaurant
Andy's Deli Butcher Shop,,,,888,41.8954359,-87.7335726,-45.8381367,restaurant
Bot Bakery,3.14,1,,30,41.766206,-87.562789,-45.796583,restaurant
Majani Soulful Vegan Cuisine,,,,236,41.766206,-87.562789,-45.796583,restaurant
Majani Restaurant,9.68,2,83,256,41.766206,-87.562789,-45.796583,restaurant
Chef Sara's Cafe,8.93,2,77,266,41.766206,-87.562789,-45.796583,restaurant
Parrot Cage Restaurant,8.41,2,,268,41.766206,-87.562789,-45.796583,restaurant
Parrot Cage - Washburne Culinary Institute,,,,291,41.766206,-87.562789,-45.796583,restaurant
Kennedy Fish & Chicken,9.59,1,58,301,41.766206,-87.562789,-45.796583,restaurant
Ming Chop Suey,8.73,1,79,322,41.766206,-87.562789,-45.796583,restaurant
Hoagy House & Hm-The Famous,,,,324,41.766206,-87.562789,-45.796583,restaurant
Hoagy House,9.06,1,,330,41.766206,-87.562789,-45.796583,restaurant
Mesler Kitchen | Bar | Lounge,,,,318,41.79933626,-87.60095811,-45.80162185,restaurant
Nicky's Chinese Food,9.44,1,71,375,41.79933626,-87.60095811,-45.80162185,restaurant
La Familia Sadc,,,,380,41.79933626,-87.60095811,-45.80162185,restaurant
Cedars Mediterranean Kitchen,9.08,2,70,398,41.79933626,-87.60095811,-45.80162185,restaurant
Harold's Chicken Shack,9.74,1,65,408,41.79933626,-87.60095811,-45.80162185,restaurant
Leona's Restaurant,9.1,2,58,473,41.79933626,-87.60095811,-45.80162185,restaurant
Roux Diner,9.84,2,,502,41.79933626,-87.60095811,-45.80162185,restaurant
Insomnia Cookies-Hyde,9.8,,74,509,41.79933626,-87.60095811,-45.80162185,restaurant
Pockets,8.74,1,74,519,41.79933626,-87.60095811,-45.80162185,restaurant
Nella Pizza e Pasta,9.75,1,75,537,41.79933626,-87.60095811,-45.80162185,restaurant
Star Gyros,9.59,1,,163,41.868114,-87.7109257,-45.8428117,restaurant
Taco Bell,9.75,1,67,168,41.868114,-87.7109257,-45.8428117,restaurant
Dave's Red Hots,9.4,1,67,180,41.868114,-87.7109257,-45.8428117,restaurant
Cleanstreet,,,,195,41.868114,-87.7109257,-45.8428117,restaurant
Green Garden Cafe,,,,241,41.868114,-87.7109257,-45.8428117,restaurant
Popeyes Louisiana Kitchen,9.89,1,56,267,41.868114,-87.7109257,-45.8428117,restaurant
Homan Squar Cafe 2,,,,307,41.868114,-87.7109257,-45.8428117,restaurant
Chinese Kitchen,9.67,1,,373,41.868114,-87.7109257,-45.8428117,restaurant
Subway,9.21,1,70,378,41.868114,-87.7109257,-45.8428117,restaurant
McDonald's,9.98,1,50,422,41.868114,-87.7109257,-45.8428117,restaurant
Sunda,9.86,3,90,11,41.890762,-87.631697,-45.740935,restaurant
Ema,9.88,4,90,63,41.890762,-87.631697,-45.740935,restaurant
Boss Bar,9.95,2,61,96,41.890762,-87.631697,-45.740935,restaurant
Three Dots and a Dash,9.95,3,85,99,41.890762,-87.631697,-45.740935,restaurant
Tanta,9.85,3,89,102,41.890762,-87.631697,-45.740935,restaurant
Beatrix,9.86,3,90,104,41.890762,-87.631697,-45.740935,restaurant
Fadó Irish Pub,9.89,2,78,109,41.890762,-87.631697,-45.740935,restaurant
Firecakes Donuts,9.93,1,92,123,41.890762,-87.631697,-45.740935,restaurant
Sushi-san,9.89,2,91,141,41.890762,-87.631697,-45.740935,restaurant
The Smith,9.92,2,89,158,41.890762,-87.631697,-45.740935,restaurant
Krispy's Chicken & Seafood,,,,213,41.73715146,-87.57274032,-45.83558885,restaurant
Subway,9.79,1,67,237,41.73715146,-87.57274032,-45.83558885,restaurant
"Krispy's Sea Food and Chicken · Great American Foods, Inc.",8.91,1,,247,41.73715146,-87.57274032,-45.83558885,restaurant
Sizzlin Grille Cafe,8.89,1,78,776,41.73715146,-87.57274032,-45.83558885,restaurant
Harold's Chicken Coop,9.82,1,,792,41.73715146,-87.57274032,-45.83558885,restaurant
Thomas Restaurant,9.65,1,66,847,41.73715146,-87.57274032,-45.83558885,restaurant
Plant Based Junkie,9.37,2,,911,41.73715146,-87.57274032,-45.83558885,restaurant
Grill Eighty Seven,,,,922,41.73715146,-87.57274032,-45.83558885,restaurant
Uncle Remus Chicken & BBQ,2.52,,,57,41.866225,-87.717918,-45.851693,restaurant
Falcon Holdings,,,,129,41.866225,-87.717918,-45.851693,restaurant
Rally's,,,,220,41.866225,-87.717918,-45.851693,restaurant
Checkers,9.72,1,61,224,41.866225,-87.717918,-45.851693,restaurant
Cleanstreet,,,,431,41.866225,-87.717918,-45.851693,restaurant
Popeyes Louisiana Kitchen,9.89,1,56,481,41.866225,-87.717918,-45.851693,restaurant
Green Garden Cafe,,,,504,41.866225,-87.717918,-45.851693,restaurant
Homan Squar Cafe 2,,,,512,41.866225,-87.717918,-45.851693,restaurant
Dave's Red Hots,9.4,1,67,529,41.866225,-87.717918,-45.851693,restaurant
Super Submarine,9.43,1,,541,41.866225,-87.717918,-45.851693,restaurant
Subway,9.48,1,66,53,41.94655,-87.719827,-45.773277,restaurant
Olive Garden,9.91,2,82,227,41.94655,-87.719827,-45.773277,restaurant
Mirabella Italian Cuisine & Bar,9.66,4,72,399,41.94655,-87.719827,-45.773277,restaurant
La Nonna,9.87,2,77,404,41.94655,-87.719827,-45.773277,restaurant
Manee Thai Restaurant,9.3,1,75,631,41.94655,-87.719827,-45.773277,restaurant
Brudders Lounge,9.76,3,78,634,41.94655,-87.719827,-45.773277,restaurant
J's Corner Hot Dogs,9.66,1,66,636,41.94655,-87.719827,-45.773277,restaurant
La Villa Restaurant,9.91,3,87,642,41.94655,-87.719827,-45.773277,restaurant
La Biznaga,8.57,1,,645,41.94655,-87.719827,-45.773277,restaurant
Big Teddy Bear,8.65,3,,645,41.94655,-87.719827,-45.773277,restaurant
Chico’s Oven,9.34,1,,66,41.744615,-87.551208,-45.806593,restaurant
Rocky Pancake House,6.3,1,,72,41.744615,-87.551208,-45.806593,restaurant
Pepe's Mexican Restaurants,9.85,1,,174,41.744615,-87.551208,-45.806593,restaurant
El Jacalito,9.64,1,,310,41.744615,-87.551208,-45.806593,restaurant
Southside African Restaurant,7.79,2,,328,41.744615,-87.551208,-45.806593,restaurant
Genesis Carry Out,,,,403,41.744615,-87.551208,-45.806593,restaurant
Cecy's Molino De Masa,,,,552,41.744615,-87.551208,-45.806593,restaurant
Los Tacos & Desserts,,,,556,41.744615,-87.551208,-45.806593,restaurant
Paleteria El Portillo,9.47,1,,565,41.744615,-87.551208,-45.806593,restaurant
Mayas Pizza,9.64,1,,570,41.744615,-87.551208,-45.806593,restaurant
Ketel One Club,9.8,3,75,59,41.88137,-87.67493,-45.79356,restaurant
Backstage Cantina,1.33,1,,82,41.88137,-87.67493,-45.79356,restaurant
Sinha Elegant Cuisine,9.7,2,75,342,41.88137,-87.67493,-45.79356,restaurant
Church's Chicken,9.74,1,61,536,41.88137,-87.67493,-45.79356,restaurant
Su Taqueria El Rey Del Taco,9.72,1,,560,41.88137,-87.67493,-45.79356,restaurant
Intelligentsia Roasting Works,9.3,,79,628,41.88137,-87.67493,-45.79356,restaurant
Passion House Coffee Roasters,8.82,1,,630,41.88137,-87.67493,-45.79356,restaurant
Metric Coffee,9.7,1,87,637,41.88137,-87.67493,-45.79356,restaurant
Rhine Hall Distillery,9.27,,79,658,41.88137,-87.67493,-45.79356,restaurant
SoJu BBQ,9.78,2,,660,41.88137,-87.67493,-45.79356,restaurant
Paleteria Lindo Michoacan,9.35,1,,27,41.70261,-87.533531,-45.830921,restaurant
El Charro San Francisco,9.87,1,59,67,41.70261,-87.533531,-45.830921,restaurant
Waldo Cooney's Pizza,9.7,1,79,85,41.70261,-87.533531,-45.830921,restaurant
Hot Wok,9.32,1,,133,41.70261,-87.533531,-45.830921,restaurant
Nicky'z Gyros,3.86,1,,260,41.70261,-87.533531,-45.830921,restaurant
Birrieria Don Luis,,,,304,41.70261,-87.533531,-45.830921,restaurant
O'Hara's Tavern,9.9,2,63,316,41.70261,-87.533531,-45.830921,restaurant
Chapala Restaurant,1.61,1,,323,41.70261,-87.533531,-45.830921,restaurant
El New Chapala,,,,327,41.70261,-87.533531,-45.830921,restaurant
La Florencia Bakery,9.51,1,,337,41.70261,-87.533531,-45.830921,restaurant
Di Nicos Pizza,9.71,1,,104,41.92378,-87.7843998,-45.8606198,restaurant
Burger King,9.9,1,52,117,41.92378,-87.7843998,-45.8606198,restaurant
Delicias Las,9.13,1,,160,41.92378,-87.7843998,-45.8606198,restaurant
Memo's Tacos,9.3,1,,181,41.92378,-87.7843998,-45.8606198,restaurant
El Guanaco,2.25,1,,187,41.92378,-87.7843998,-45.8606198,restaurant
Panda Express,,,,284,41.92378,-87.7843998,-45.8606198,restaurant
Las Islas Marias,9.88,2,76,431,41.92378,-87.7843998,-45.8606198,restaurant
Old Country AYCE Marketplace,9.57,2,56,447,41.92378,-87.7843998,-45.8606198,restaurant
Papa John's Pizza,9.79,1,65,464,41.92378,-87.7843998,-45.8606198,restaurant
Subway,9.5,1,65,491,41.92378,-87.7843998,-45.8606198,restaurant
The Perfect Cup,9.51,1,78,19,41.967094,-87.679028,-45.711934,restaurant
Aroy Thai,9.4,1,87,51,41.967094,-87.679028,-45.711934,restaurant
Shanghai Inn,9.36,1,79,61,41.967094,-87.679028,-45.711934,restaurant
Budacki's Drive-In,9.65,1,85,120,41.967094,-87.679028,-45.711934,restaurant
Me Dee Cafe,9.33,2,84,208,41.967094,-87.679028,-45.711934,restaurant
La Boulangerie Wilson,9.69,1,88,234,41.967094,-87.679028,-45.711934,restaurant
Wendy's,9.93,1,59,240,41.967094,-87.679028,-45.711934,restaurant
Namit Cafe & Restaurant,9.39,2,,327,41.967094,-87.679028,-45.711934,restaurant
Golden Nugget Pancake House,9.83,1,78,460,41.967094,-87.679028,-45.711934,restaurant
Roots Handmade Pizza - Lincoln Square,9.71,1,81,468,41.967094,-87.679028,-45.711934,restaurant
BienMeSabe Venezuelan Cafe & Restaurant,9.62,2,89,61,41.961507,-87.671387,-45.70988,restaurant
Bienmesabe,,,,79,41.961507,-87.671387,-45.70988,restaurant
ORD Pizzeria,9.26,2,81,135,41.961507,-87.671387,-45.70988,restaurant
Urban Vegan,9.56,2,89,144,41.961507,-87.671387,-45.70988,restaurant
Bliss Resto,8.89,2,,226,41.961507,-87.671387,-45.70988,restaurant
Spacca Napoli,9.72,2,93,280,41.961507,-87.671387,-45.70988,restaurant
Margie's Candies,9.63,1,85,297,41.961507,-87.671387,-45.70988,restaurant
Culver’s,9.77,1,77,300,41.961507,-87.671387,-45.70988,restaurant
Spoken Cafe,9.45,1,81,301,41.961507,-87.671387,-45.70988,restaurant
So Dressed Up,,,,315,41.961507,-87.671387,-45.70988,restaurant
DeQue's Original BBQ,,,,524,41.731767,-87.604899,-45.873132,restaurant
St Rest No 2 Country Kitchen,9.37,1,,527,41.731767,-87.604899,-45.873132,restaurant
Ranchito Taco Truck,,,,528,41.731767,-87.604899,-45.873132,restaurant
